2019-03-06 14:02:41  django.db.backends  DEBUG  [91]   (0.008) SHOW FULL TABLES; args=None
2019-03-06 14:02:41  django.db.backends  DEBUG  [91]   (0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 14:03:11  django.db.backends  DEBUG  [91]   (0.005) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 14:03:11  django.db.backends  DEBUG  [91]   (0.006) SELECT VERSION(); args=None
2019-03-06 14:03:12  django.db.backends  DEBUG  [91]   (0.012) SHOW FULL TABLES; args=None
2019-03-06 14:03:12  django.db.backends  DEBUG  [91]   (0.012) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 14:03:41  django.db.backends  DEBUG  [91]   (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 14:03:41  django.db.backends  DEBUG  [91]   (0.008) SELECT VERSION(); args=None
2019-03-06 14:03:42  django.db.backends  DEBUG  [91]   (0.007) SHOW FULL TABLES; args=None
2019-03-06 14:03:42  django.db.backends  DEBUG  [91]   (0.010) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 14:03:53  django.db.backends  DEBUG  [91]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-06 14:03:53  django.db.backends  DEBUG  [91]   (0.007) SELECT @@sql_mode; args=None
2019-03-06 14:03:53  django.db.backends  DEBUG  [91]   (0.007) SELECT VERSION(); args=None
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.008) SHOW FULL TABLES; args=None
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.010) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.008) SHOW FULL TABLES; args=None
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.013) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-06 14:03:54  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2019-03-06 14:03:54  django.db.backends  DEBUG  [91]   (0.025) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
